
"Product Implementation, Specialist (Assistant Manager - Business Analyst for Ins",AIA Hong Kong,2,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-08-15,78127356,https://hk.jobsdb.com/job/78127356,"['AIA', 'Actuarial, Operations', 'Agency', 'Partnership Distribution', 'FS', 'User Acceptance Testing', 'Group', 'Product Implementation Taskforce', 'PGS', 'Personal Data']","At AIA we’ve started an exciting movement to create a healthier, more sustainable future for everyone.It’s about finding new ways to not only better people's lives, but to better the communities and environments we live in. Encompassing our ambition of helping a billion people live Healthier, Longer, Better Lives by 2030.And to get there, we need ambitious people who believe in playing an important part in shaping that future. People seeking unmatched career and personal growth opportunities, who are driven to work with, and learn from some of the most inspiring and supportive leaders in the business.Sound like you? Then read on.About the RoleResponsible for conceiving, developing, implementing, supporting, and enhancing life, health, and wellness insurance schemes and productsRoles and Responsibilities:Drive the technical solutions for new product initiatives and other product supports including product enhancements, Day 2 items and regulatory requirementsCollaborate with various stakeholders, such as Actuarial, Operations, IT, Finance, Agency, Partnership Distribution, to align various initiatives in order to meet the business goalsCollect, analyse and document business requirements from product managers to produce the business requirements specification (BRS)Review functional specification (FS), liaise with product managers and IT to facilitate alignment of understanding of requirements and IT solutionsLead to conduct system testing, coordinating, planning and participating in User Acceptance Testing (UAT)Ensure the product development and implementation processes compliant with regulatory guidelines. Group’s governance structures and Risk and Compliance StandardsParticipate in Product Implementation Taskforce and PGS regular meetings to drive the implementation of the product launches, various product and / or regulatory initiatives with good quality and timely mannerLead the ad-hoc projects and other duties as requiredMinimum Job Requirements:University graduate plus at least 4- 6 years of working experience in the insurance industry, information technology or related background is preferredRelevant experience in business requirement gathering, functional specification review and user acceptance test executionIn-depth knowledge in product development, operations and system processGood analytical, problem solving and organizing skillsTeam player with good communication and presentation skillsOthers:You are required to obtain the relevant license(s) if your job involves regulated activitiesBuild a career with us as we help our customers and the community live Healthier, Longer, Better Lives.You must provide all requested information, including Personal Data, to be considered for this career opportunity. Failure to provide such information may influence the processing and outcome of your application. You are responsible for ensuring that the information you submit is accurate and up-to-date.
"
Business Analyst,AXA Hong Kong,2,False,"Wong Chuk Hang, Southern District",Information & Communication Technology,work from home,2024-08-15,78125106,https://hk.jobsdb.com/job/78125106,"['Healthbuzz', 'RCA', 'UTR', 'UAT', 'BVT', 'IVT', 'ATP', 'CRS', 'FATCA', 'Job RequirementsUniversity', 'Microsoft Office', 'Word & PowerPoint']","Job ResponsibilitiesBusiness analyst and production support for Healthbuzz and other systems that are being used by Life OperationsHandle production defects that affect life operationsDesign workaround before defect fix to minimize impactPropose and take remedy actions if neededNegotiate fix design and implementation arrangementQC control on fix including RCA and UTR review, UAT, BVT, IVT. etc.Month end and Year End Arrangement, including but not limited to online/offline schedule, ATP process adjustment, etc.Regulatory reporting and handling such as Levy, CRS, FATCA, Data retention, etc.Any other production support activities Job RequirementsUniversity graduate in business administration, statistics, quantitative analysis or related disciplines.Around 2-3 years proven experience in business analysis and project areas, preferably in insurance; less experienced candidates will be considered as Assistant Business AnalystStrong communication skill - written and spokenStrong analytical and problem solving skillsWell organized, self initiative and a good team playerWell versed in Microsoft Office, a high level of financial/business analysis capacity including use of Excel, Word & PowerPoint"
Business Analyst,House730 Limited,1,False,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-08-15,78125328,https://hk.jobsdb.com/job/78125328,"['EnglishUniversity', 'disciplineBenefits & Others']","Job DescriptionParticipate in formulating product vision and strategy to achieve corporate goalsSensitive to commercial trend and understand competitive landscape to discover market insights and user mindset / behaviorCommunicate and collaborate with stakeholders to deliver product featuresManage the full product development cycle including requirement gathering, design & development, progress tracking, testing and deploymentConduct product review and suggest action plan for on-going product enhancement      Requirement Fresh graduate to 1 year of experience in a business analyst role.  Previous experience in Startup or property related business is an advantageExperience on product and project managementUnderstanding of Scrum and Agile methodologyStrong business and digital technology acumen with great passion to build profitable and sustainable businessStrong planning and analytical skills with data-driven decision-making abilityFamiliar with software development life cycle and change managementExcellent communication skills in Chinese, Mandarin and EnglishUniversity degree in a relevant disciplineBenefits & Others Five-day work week, Flex work, Medical insurance, Performance bonus Personal Information Collection StatementPersonal data provided by job applicants will be used strictly in accordance with the employer's personal data policies, a copy of which will be provided immediately upon request."
Business Analyst/ Project Manager,CXC Global Hong Kong Limited,3,False,Kowloon,Information & Communication Technology,"$40,000 - $55,000 per month",2024-08-15,78125476,https://hk.jobsdb.com/job/78125476,"['Change Management', 'Microsoft Office', 'PowerPoint']","We have partnered with one of the largest listed business groups to hire the above. Key responsibilities: • Conduct thorough process mapping to identify obstacles, inefficiencies and improvement opportunities. • Participate in the development and review of systems, policies and procedures in accordance with the best practice; • Develop and implement optimized procurement processes. • Create process documentation and guidelines for the commercial and supply chain management process. • Document user manuals to describe operating procedures and conduct training. • Communicate with stakeholders to ensure alignment on proposed changes and ensuring smooth transitions. • Provide training and support to team members on new processes and best practices.  Requirements: • Bachelor’s degree in business administration, management or a related field. • 3+ years of experience in business process analysis and project management. • Excellent written and verbal communication skills. • Advanced organizing skills, and able to work independently with limited supervision. • Strong analytical and problem-solving skills. • Ability to manage and perform multiple complex tasks as part of the daily work assignment. • With procurement knowledge would be advantageous. • Working knowledge of Change Management. • Proficiency in Microsoft Office suite, including Excel and PowerPoint. • Strong communication and presentation skills to effectively communicate process changes and recommendations to stakeholders at all levels"
IT Business Analyst,JFE Consulting Limited,,False,"Central, Central and Western District",Information & Communication Technology,,2024-08-16,78132551,https://hk.jobsdb.com/job/78132551,"['Provide Project Management', 'Information Technology, Business Administration', 'ChineseCandidate']","Responsibilities:Provide Project Management to the business.Prepare project document works and presentation materials.Involove in project planning, tetsing and implementation of product launch and system enhancement.Ensure the requirements are correctly communicated for the project.Requirements: Degree holder in Information Technology, Business Administration in computing major or related principles.Minimum of 2 yeras of solid expereince in project management.Proficiency in both spoken and written English and ChineseCandidate with more expereicne will be considered as Senior Business Analyst."
Business Analyst - CRM System,AS Watson Retail (HK) Limited,,False,"Whampoa Garden, Kowloon City District",Information & Communication Technology,,2024-08-15,78129277,https://hk.jobsdb.com/job/78129277,"['Whampoa', 'Comprehensive Medical and Life', 'UAT', 'PROBLEM', 'COLLABORATOR', 'Success', 'Business AnalystGood', 'relevant/', 'the AS Watson Group']","Come and join a Winning TeamBe remarkable. Be yourself. Why Should You Join Us?At AS Watson, we believe in our people, in teamwork and the importance of your personal growth. If you are looking for the opportunity to join our award-winning international family with over 16,000 stores across 28 markets in Asia and Europe, the AS Watson family welcomes you…   You can enjoy :   Conveniently located in Whampoa, less than 5 min. walk from MTRCozy office with contemporary design Comprehensive Medical and Life insurance coverage, including your spouse and children Role Purpose:This role will work with CRM teams across different business units in Asia, technical teams and other stakeholders to deliver innovative digital solutions to provide a best-in-class member experience across regions. A typical day in this Role: Engage with cross-functional teams to define business requirements to enhance our customer journey and user experienceBreak down the complex requirements into clear, achievable ones and prioritize them based on business valuesUnderstand system and data flow to ensure system designs proposed by technical team can fulfill the defined business & commercial objectives and requirementsEstablish clear communication between the key stakeholders and other teams to manage project team’s expectationsWork with the digital service team, UAT and technical team to make sure the solutions can be roll-out on schedule   This job is a good fit for You if:  You are a PROBLEM SOLVER.  You make decisions based on evidence-based opinions. You are a COLLABORATOR.  You explore outside resources and develop contacts that may be helpful to the team. You are high energy and outgoing. You are a BIG PICTURE THINKER.  You are a big fan of brainstorming and collaborative idea generation. You stay up to date on trends and are always open to new possibilities.  Success will depend on:  Experience in related field with proven experience as a Business AnalystGood project management, communication and interpersonal skillsSelf-motivated team player with good analytical and conceptual thinking, logical results-driven and customer focusEager to learn, creative and detail-mindedKnowledge in project management tools (e.g. Jira, Slack) will be an advantage Fluent in both written and spoken English and Chinese including Mandarin What is holding you back?Don’t miss out on this great chance to shape Your life!Apply now! We are an equal opportunity employer and welcome applications from all qualified candidates. The information provided will be treated in strict confidence and be used only for consideration of your application for relevant/ similar posts within the AS Watson Group."
Senior Business Analyst/ ERP Consultant (IT Technology),Recreate System Limited,2,False,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-08-15,78108562,https://hk.jobsdb.com/job/78108562,"['ERP', 'User Acceptance Testing', 'ERP', 'Microsoft', 'Oracle', 'NetSuite']","Job Description:Work with Project Manager to gather system and user requirements and business needsWork closely with technical consultant to communicate user requirements and ensure the successful implementationOdoo ERP, inventory, accounting system and CRM focusedDevelop test plan, scenarios and cases for project deliveryConduct User Acceptance Testing (UAT) to meet quality standards Assist in troubleshooting, and follow up on bugs and errors with development teamAssist in project management Ad hoc project assignmentRequirements:Degree holder (Fresh graduate is welcome)2 - 5 years BA / IT work experienceExperience in ERP (Microsoft, Oracle, D365, NetSuite, Odoo)Self-motivated and willing to learnGood presentation and communication skillsGood in both spoken and written English and CantoneseOther Benefits:Work-life balance with young team and friendly working environmentPerformance bonusExcellent exposure to various business operations in corporate clientsCandidiate with more expenience will be considered as Senior BA/ PM"
IT Business Analyst - insurance,Robert Walters (HK) Ltd,4,False,Central and Western District,Information & Communication Technology,"bonus, medical",2024-08-15,78123535,https://hk.jobsdb.com/job/78123535,"['Bachelor', 'Information Technology', 'IT Business Analysis', 'Agile']","This role involves communicating with stakeholders, analyzing business requirements, developing process flows, and working with vendor & tech team for SDLC process. Job Duties:Oversee and coordinate with the regional team and business users throughout the entire duration of the project, managing project planning, timelines, contract reviews, procurement, budget tracking, resource allocation, implementation, post-implementation support, risk mitigation, and governance.Facilitate regular communication with regional business stakeholders to comprehend their needs and opportunities, and keep them informed about project status, issues, risks, and threats.Collect and analyze both functional and non-functional business requirements, preparing detailed functional specifications as per the requirements.Create and maintain process flows, use cases, screen mockups, and other artifacts necessary to effectively communicate business needs and processes.Collaborate closely with external vendors and offshore technical teams to conduct gap analysis between system documents and business requirements.Coordinate with regional teams and technical counterparts to resolve technical specifications and issues.Requirements:Hold a Bachelor's degree in Information Technology, Computer Science, or a related discipline.Have at least 4 years of experience in IT Business Analysis ,familiar with Agile and SDLC process.Possess a solid understanding in insurance or banking industryBe knowledgeable in system integration.Experience in regional project management would be beneficial.Fluent in Cantonese, English, and Mandarin.Possess strong interpersonal skills and the ability to communicate effectively with staff at all levels    "
Business Analyst (Digital Platform) / Digital Forwarding Team (WFH Policy),Yusen Logistics Global Management Limited,2,False,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-08-15,77252169,https://hk.jobsdb.com/job/77252169,"['UAT', 'E.g. Logistics', 'Project Management', 'MS Office', 'HRA Division', 'Yusen Logistics Global Management Limited', 'Kowloon Commerce Centre', 'Yusen Logistics Global Management Limited', 'Yusen LogisticsYusen Logistics']","Responsibilities : Work with different stakeholders to capture user requirements;Support Manager to assess new technology and new features for our digital platform;Communicate with internal stakeholders to ensure feasibility of new features;Create, clarify and verify the functional requirement documentations;Conduct UAT and work with system developer to fix if any problems;Provide daily support (giving advice how to use the functions or follow up the enquiry from operational team / BU);Work with system developer to come up with workaround or resolve issues.Requirements:- Bachelor’s Degree or equivalent in a relevant business or technical subject is essential.  (E.g. Logistics, Project Management, IT, Industrial Eng.);Minimum 2 years’ working experience engaged in IT or Digitalization project;Solid experience and in-depth knowledge in logistics/freight forwarding industry is a great advantage;Experience of project management is a great advantage;Mindset of “openness to new thing,” “no hesitation to change,” and “challenge with overcoming conflicts” is essential in this position;Excellent communication, presentation, problem-solving, and organizational skills;Business-minded, performance-driven, detail- & results-oriented;Good command in MS Office applications;Fluent in spoken and written English;Self-motivated, result-oriented and detail-oriented mindset;More experience will be considered as Senior Business Analyst;Immediately available preferred.Interested parties please send full resume with employment history and expected salary to HRA Division, Yusen Logistics Global Management Limited at Level 31, Tower 1, Kowloon Commerce Centre, 51 Kwai Cheong Road, Kwai Chung or by email to hr.ylhk @ hk.yusen-logistics.com.Yusen Logistics Global Management Limited is an equal opportunity employer. All information collected will be used for recruitment purpose only.＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜＜About Yusen LogisticsYusen Logistics is working to become the world’s preferred supply chain logistics company. Our complete offer is designed to forge better connections between businesses, customers and communities – through innovative supply chain management, freight forwarding, warehousing and distribution services. As a company we’re dedicated to a culture of continuous improvement, ensuring everyone who works with us is committed, connected and creative in making us the world’s preferred choice.https://www.yusen-logistics.com/"
Application Consultant (Business Analyst),Tectura Hong Kong Ltd,,True,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-08-15,78126023,https://hk.jobsdb.com/job/78126023,"['ERP', 'QA', 'TecturaEnsure', 'Business Administration', 'Accounting, Logistics Management', 'Retail, Manufacturing/Production', 'Finance', 'ERP', 'Oracle Enterprise One/JDEdwards', 'SAP', 'Oracle E-Business Suite', 'Sun Accounts', 'HRIS', 'MandarinShould', 'TrainingOpportunity', 'Microsoft', 'productsRegional & Global']","Job Responsibilities:Act as an Application Consultant of ERP in order to deliver excellent consulting services to different clientsParticipating in implementation projects providing consulting services to clients, including training, business requirement analysis, system design, system testing, support and maintenanceDesign and coordinate the integration of our enterprise applications implemented using different technologies and platformsTest and QA developmentsPerform first tier troubleshooting and problem resolvingPerform other consulting and support related duties as assignedAssist in the preparation of service estimates and project plansTo maintain, review and improve the internal standards and systems used within TecturaEnsure timesheets are entered accurately on a timely basisJob Requirements:Holding a degree in any relevant area like Business Administration, Accounting, Logistics Management, Retail, Manufacturing/Production, etc.Having experience on Finance system is an absolute advantageHaving hands-on experience with any ERP system (such as Oracle Enterprise One/JDEdwards, SAP, Oracle E-Business Suite, Sun Accounts, etc.) or HRIS system will be consideredShould be fluent in English (both spoken and written) and good in MandarinShould possess very good communication and presentation skillsHave to be initiative and be able to work independentlyMust learn fast and enjoy working in a fast-paced environmentFresh Graduates are welcomedWe provide:Career Growth5-days workMedical insuranceOn-the-job TrainingOpportunity to work with multiple Microsoft software productsRegional & Global experienceExcellent Company CultureTravel allowance provided (oversea) "
